 Fwd Packet Length Mean, Fwd Packet Length Max, Avg Fwd Segment Size, Subflow Fwd Bytes,Total Length of Fwd Packets, Flow IAT Max, Average Packet Size, Bwd Packet Length Std, Flow Duration, Avg Bwd Segment Size, Bwd Packets/s, Packet Length Mean,Init_Win_bytes_forward, Init_Win_bytes_backward, Packet Length Std, Fwd IAT Max, Fwd Packet Length Std, Packet Length Variance, Total Length of Bwd Packets, Flow Packets/s,Label
66.2,89,66.2,331,331,0.0054399967193603516,66.2,0.0,0.005608081817626953,0.0,0.0,66.2,65535,0,12.432216214336043,0.0054399967193603516,12.432216214336043,154.56,0,891.5704446900774,ddos
66.2,89,66.2,331,331,0.003076791763305664,66.2,0.0,0.003309011459350586,0.0,0.0,66.2,65535,0,12.432216214336043,0.003076791763305664,12.432216214336043,154.56,0,1511.0252900064845,ddos
66,66,66,66,66,0.0,66,0.0,1e-09,0.0,0.0,66,65535,0,0.0,0.0,0.0,0.0,0,999999999.9999999,ddos
66,66,66,66,66,0.0,66,0.0,1e-09,0.0,0.0,66,65535,0,0.0,0.0,0.0,0.0,0,999999999.9999999,ddos
61.142857142857146,89,61.142857142857146,428,428,0.0038299560546875,61.142857142857146,0.0,0.006580829620361328,0.0,0.0,61.142857142857146,65535,0,12.0526057814254,0.0038299560546875,12.0526057814254,145.26530612244898,0,1063.6956742265054,ddos
61.142857142857146,89,61.142857142857146,428,428,0.00528717041015625,61.142857142857146,0.0,0.008038043975830078,0.0,0.0,61.142857142857146,65535,0,12.0526057814254,0.00528717041015625,12.0526057814254,145.26530612244898,0,870.8586343952068,ddos
54.333333333333336,55,54.333333333333336,163,163,0.0026650428771972656,54.333333333333336,0.0,0.0026650428771972656,0.0,0.0,54.333333333333336,64,0,0.4714045207910317,0.0026650428771972656,0.4714045207910317,0.2222222222222222,0,1125.6854535695115,ddos
54.333333333333336,55,54.333333333333336,163,163,0.003879070281982422,54.333333333333336,0.0,0.003879070281982422,0.0,0.0,54.333333333333336,64,0,0.4714045207910317,0.003879070281982422,0.4714045207910317,0.2222222222222222,0,773.381192378611,ddos
63,90,63,252,252,0.0025968551635742188,63,0.0,0.0027768611907958984,0.0,0.0,63,255,0,15.588457268119896,0.0025968551635742188,15.588457268119896,243,0,1440.4753155318965,ddos
61.2,90,61.2,306,306,0.0031440258026123047,61.2,0.0,0.0060460567474365234,0.0,0.0,61.2,255,0,14.4,0.0031440258026123047,14.4,207.36,0,826.9852912181079,ddos
72,90,72,144,144,0.0031769275665283203,72,0.0,0.0031769275665283203,0.0,0.0,72,255,0,18.0,0.0031769275665283203,18.0,324,0,629.5390619136961,ddos
72,90,72,144,144,0.005149126052856445,72,0.0,0.005149126052856445,0.0,0.0,72,255,0,18.0,0.005149126052856445,18.0,324,0,388.41542806871325,ddos
66.2,89,66.2,331,331,0.003545045852661133,66.2,0.0,0.00391387939453125,0.0,0.0,66.2,65535,0,12.432216214336043,0.003545045852661133,12.432216214336043,154.56,0,1277.504873294347,ddos
66,66,66,66,66,0.0,66,0.0,1e-09,0.0,0.0,66,65535,0,0.0,0.0,0.0,0.0,0,999999999.9999999,ddos
66,66,66,66,66,0.0,66,0.0,1e-09,0.0,0.0,66,65535,0,0.0,0.0,0.0,0.0,0,999999999.9999999,ddos
66,66,66,66,66,0.0,66,0.0,1e-09,0.0,0.0,66,65535,0,0.0,0.0,0.0,0.0,0,999999999.9999999,ddos
