 Fwd Packet Length Mean, Fwd Packet Length Max, Avg Fwd Segment Size, Subflow Fwd Bytes,Total Length of Fwd Packets, Flow IAT Max, Average Packet Size, Bwd Packet Length Std, Flow Duration, Avg Bwd Segment Size, Bwd Packets/s, Packet Length Mean,Init_Win_bytes_forward, Init_Win_bytes_backward, Packet Length Std, Fwd IAT Max, Fwd Packet Length Std, Packet Length Variance, Total Length of Bwd Packets, Flow Packets/s,Label
95.66666666666667,116,95.66666666666667,287,287,0.026137828826904297,95.66666666666667,0.0,0.026371002197265625,0.0,0.0,95.66666666666667,2048,0,21.452790546272116,0.026137828826904297,21.452790546272116,460.22222222222223,0,113.76131925358021,normal
66,90,66,330,330,0.07824015617370605,66,0.0,0.07841801643371582,0.0,0.0,66,2048,0,13.145341380123988,0.07824015617370605,13.145341380123988,172.8,0,63.76085786646154,normal
185.5625,530,185.5625,2969,2969,0.8909289836883545,185.5625,0.0,1.140345811843872,0.0,0.0,185.5625,2048,0,163.48125609301513,0.8909289836883545,163.48125609301513,26726.12109375,0,14.030831554621964,normal
60,66,60,120,120,0.017774105072021484,60,0.0,0.017774105072021484,0.0,0.0,60,2048,0,6.0,0.017774105072021484,6.0,36,0,112.52324614352783,normal
89,102,89,267,267,0.029585838317871094,89,0.0,0.029834985733032227,0.0,0.0,89,2048,0,16.30950643030009,0.029585838317871094,16.30950643030009,266,0,100.55308981356433,normal
89,102,89,267,267,0.019719839096069336,89,0.0,0.01997089385986328,0.0,0.0,89,2048,0,16.30950643030009,0.019719839096069336,16.30950643030009,266,0,150.21861420180508,normal
89,102,89,267,267,0.020872831344604492,89,0.0,0.021081924438476562,0.0,0.0,89,2048,0,16.30950643030009,0.020872831344604492,16.30950643030009,266,0,142.30199945716095,normal
60,66,60,120,120,0.016497135162353516,60,0.0,0.016497135162353516,0.0,0.0,60,2048,0,6.0,0.016497135162353516,6.0,36,0,121.23317050611325,normal
79.5,95,79.5,318,318,0.011893033981323242,79.5,0.0,0.013393878936767578,0.0,0.0,79.5,9,0,13.573871960498227,0.011893033981323242,13.573871960498227,184.25,0,298.6438819466695,normal
117.5,123,117.5,235,235,0.03891110420227051,117.5,0.0,0.03891110420227051,0.0,0.0,117.5,2048,0,5.5,0.03891110420227051,5.5,30.25,0,51.399209583039735,normal
66,66,66,66,66,0.0,66,0.0,1e-09,0.0,0.0,66,2048,0,0.0,0.0,0.0,0.0,0,999999999.9999999,normal
172.27777777777777,530,172.27777777777777,3101,3101,0.874701976776123,172.27777777777777,0.0,1.1315698623657227,0.0,0.0,172.27777777777777,2048,0,157.93486897929213,0.874701976776123,157.93486897929213,24943.422839506173,0,15.907104456076802,normal
89,102,89,267,267,0.028753995895385742,89,0.0,0.029011011123657227,0.0,0.0,89,2048,0,16.30950643030009,0.028753995895385742,16.30950643030009,266,0,103.40901208898677,normal
1022.5384615384615,1440,1022.5384615384615,13293,13293,2.041663885116577,1022.5384615384615,0.0,2.0617170333862305,0.0,0.0,1022.5384615384615,2048,0,626.2656864775298,2.041663885116577,626.2656864775298,392208.7100591716,0,6.305423969189594,normal
89,102,89,267,267,0.01967787742614746,89,0.0,0.01988387107849121,0.0,0.0,89,2048,0,16.30950643030009,0.01967787742614746,16.30950643030009,266,0,150.87605366970826,normal
60,66,60,120,120,0.01602911949157715,60,0.0,0.01602911949157715,0.0,0.0,60,2048,0,6.0,0.01602911949157715,6.0,36,0,124.77291725543276,normal
851.7142857142857,1440,851.7142857142857,5962,5962,0.00020003318786621094,851.7142857142857,0.0,0.0004119873046875,0.0,0.0,851.7142857142857,142,0,676.9962469374161,0.00020003318786621094,676.9962469374161,458323.9183673469,0,16990.814814814814,normal
182.6,530,182.6,4565,4565,1.0002732276916504,182.6,0.0,2.258624792098999,0.0,0.0,182.6,2048,0,171.15186239126936,1.0002732276916504,171.15186239126936,29292.96,0,11.068682185484578,normal
158.75,172,158.75,1270,1270,0.6815390586853027,158.75,0.0,2.052539110183716,0.0,0.0,158.75,2048,0,23.99348870006194,0.6815390586853027,23.99348870006194,575.6875,0,3.897611480486697,normal
151.52941176470588,530,151.52941176470588,5152,5152,3.5639920234680176,151.52941176470588,0.0,4.952224969863892,0.0,0.0,151.52941176470588,2048,0,127.03525108134764,3.5639920234680176,127.03525108134764,16137.955017301038,0,6.8656008575746235,normal
